shipment_id,vaccine_type,transport_mode,route,temperature_avg_c,temperature_max_c,temperature_min_c,humidity_pct,vibration_g,door_open_count,transit_duration_hrs,power_outage_mins,temp_excursion,temp_excursion_duration_mins,cold_chain_failure
SHP-00001,Polio,Road,Bengaluru-Pune,1.06,1.16,-0.45,40.69,0.4595,3,63.11,0.03,1,116.19,1
SHP-00002,Rotavirus,Road,Chennai-Kolkata,7.91,8.67,6.96,61.83,1.8248,3,9.09,9.19,1,42.71,0
SHP-00003,Influenza,Rail,Lucknow-Ahmedabad,6.22,6.54,4.55,45.21,0.8939,2,46.65,0.82,0,0.0,0
SHP-00004,Hepatitis-B,Road,Jaipur-Hyderabad,8.33,9.78,8.1,34.31,0.3326,4,27.99,2.02,1,15.16,0
SHP-00005,COVID-19-mRNA,Rail,Jaipur-Hyderabad,5.35,5.94,3.83,51.25,0.1388,3,50.76,2.67,0,0.0,0
SHP-00006,COVID-19-mRNA,Air,Jaipur-Hyderabad,2.93,4.54,2.92,63.99,0.5603,3,11.65,5.69,0,0.0,0
SHP-00007,COVID-19-mRNA,Rail,Delhi-Mumbai,7.31,8.53,6.97,42.78,0.6485,2,42.71,0.48,1,81.51,0
SHP-00008,Rotavirus,Rail,Delhi-Mumbai,3.92,5.84,3.88,60.76,0.312,2,62.45,8.76,0,0.0,0
SHP-00009,Hepatitis-B,Air,Jaipur-Hyderabad,4.55,4.72,4.02,62.63,0.1306,5,38.65,14.3,0,0.0,0
SHP-00010,Influenza,Road,Bengaluru-Pune,3.89,4.25,3.62,42.28,0.4074,5,11.57,15.26,0,0.0,0
SHP-00011,COVID-19-mRNA,Air,Bengaluru-Pune,-3.37,-0.82,-4.75,52.72,0.1464,1,8.47,0.48,1,28.53,1
SHP-00012,Rotavirus,Road,Delhi-Mumbai,8.01,10.72,5.7,70.77,1.4067,2,47.0,12.59,1,82.56,1
SHP-00013,Influenza,Road,Jaipur-Hyderabad,5.23,5.44,3.99,61.51,0.4956,2,10.59,4.19,0,0.0,0
SHP-00014,COVID-19-mRNA,Road,Bengaluru-Pune,4.82,6.01,4.1,52.39,0.1726,2,10.71,6.49,0,0.0,0
SHP-00015,COVID-19-mRNA,Air,Delhi-Mumbai,3.85,4.85,2.77,59.15,0.1215,5,34.08,13.34,0,0.0,0
SHP-00016,COVID-19-mRNA,Air,Jaipur-Hyderabad,4.41,6.91,2.9,48.15,0.6307,2,19.83,5.41,0,0.0,0
SHP-00017,Polio,Air,Chennai-Kolkata,2.51,3.61,1.25,66.14,0.6151,3,19.48,3.05,1,105.01,0
SHP-00018,Hepatitis-B,Road,Jaipur-Hyderabad,5.54,6.9,4.95,66.13,0.4546,4,37.74,3.72,0,0.0,0
SHP-00019,Polio,Road,Jaipur-Hyderabad,0.73,0.78,0.09,56.21,0.4763,4,24.53,5.77,1,30.12,0
SHP-00020,COVID-19-mRNA,Rail,Lucknow-Ahmedabad,4.47,8.18,3.13,57.31,0.463,3,20.47,14.47,1,89.3,0
SHP-00021,Hepatitis-B,Road,Lucknow-Ahmedabad,5.4,7.27,3.82,45.01,0.2232,2,39.95,11.03,0,0.0,0
SHP-00022,COVID-19-mRNA,Road,Chennai-Kolkata,3.5,4.3,1.36,41.48,1.3856,6,25.2,4.3,1,59.21,0
SHP-00023,COVID-19-mRNA,Sea,Chennai-Kolkata,4.93,5.41,4.24,51.23,0.3263,2,11.29,1.19,0,0.0,0
SHP-00024,Polio,Road,Jaipur-Hyderabad,1.52,2.58,1.26,54.13,0.0103,2,51.06,2.13,1,37.93,0
SHP-00025,Polio,Sea,Bengaluru-Pune,1.59,3.49,1.16,65.63,0.2141,2,44.65,2.25,1,15.47,0
SHP-00026,Influenza,Road,Chennai-Kolkata,4.59,5.17,3.52,64.22,0.0698,1,20.0,1.71,0,0.0,0
SHP-00027,COVID-19-mRNA,Road,Jaipur-Hyderabad,5.7,7.37,3.77,56.85,0.2258,1,44.43,6.87,0,0.0,0
SHP-00028,Hepatitis-B,Air,Delhi-Mumbai,-0.69,2.64,-1.48,66.91,0.4686,4,69.07,9.04,1,64.35,1
SHP-00029,Hepatitis-B,Road,Lucknow-Ahmedabad,5.31,5.4,4.09,45.57,0.0115,1,69.13,1.93,0,0.0,0
SHP-00030,COVID-19-mRNA,Air,Bengaluru-Pune,2.64,3.82,1.42,65.77,1.0209,1,41.11,9.36,1,96.61,0
SHP-00031,Hepatitis-B,Road,Jaipur-Hyderabad,3.52,4.4,3.34,47.1,0.4712,2,12.47,6.63,0,0.0,0
SHP-00032,COVID-19-mRNA,Road,Delhi-Mumbai,0.65,0.68,0.13,67.4,0.175,4,36.24,2.91,1,63.53,0
SHP-00033,COVID-19-mRNA,Road,Lucknow-Ahmedabad,1.87,2.14,1.6,54.87,0.1864,5,7.78,6.0,1,77.89,0
SHP-00034,Rotavirus,Road,Delhi-Mumbai,6.42,7.61,5.25,35.02,0.3134,4,33.4,7.33,0,0.0,0
SHP-00035,Rotavirus,Air,Jaipur-Hyderabad,4.08,5.89,3.01,62.3,0.1426,0,66.02,4.12,0,0.0,0
SHP-00036,Influenza,Road,Chennai-Kolkata,3.04,3.21,2.92,63.1,0.0022,2,36.85,2.93,0,0.0,0
SHP-00037,Polio,Road,Lucknow-Ahmedabad,3.71,6.01,2.75,50.43,0.0135,3,42.33,0.54,0,0.0,0
SHP-00038,COVID-19-mRNA,Sea,Delhi-Mumbai,5.22,7.52,3.37,51.29,0.2214,3,16.43,0.01,0,0.0,0
SHP-00039,Hepatitis-B,Road,Chennai-Kolkata,5.1,6.37,4.49,53.4,0.0663,4,7.03,13.84,0,0.0,0
SHP-00040,Polio,Sea,Bengaluru-Pune,3.81,4.59,1.36,35.75,0.0113,1,71.56,1.56,1,95.08,0
SHP-00041,COVID-19-mRNA,Rail,Jaipur-Hyderabad,6.73,7.65,5.72,31.35,0.9805,4,28.32,5.44,0,0.0,0
SHP-00042,Polio,Road,Jaipur-Hyderabad,6.43,7.64,6.26,68.02,0.1602,2,24.44,14.36,0,0.0,0
SHP-00043,COVID-19-mRNA,Air,Lucknow-Ahmedabad,5.03,6.46,3.92,46.76,0.3497,3,43.7,8.53,0,0.0,0
SHP-00044,Rotavirus,Road,Delhi-Mumbai,4.14,5.95,2.87,73.55,0.0989,3,55.19,0.65,0,0.0,0
SHP-00045,COVID-19-mRNA,Road,Bengaluru-Pune,5.64,6.66,5.16,68.7,0.0239,2,22.59,8.1,0,0.0,0
SHP-00046,Hepatitis-B,Road,Lucknow-Ahmedabad,4.79,6.41,3.93,70.67,0.683,3,40.59,6.48,0,0.0,0
SHP-00047,Polio,Road,Lucknow-Ahmedabad,6.65,7.89,5.67,48.5,0.0667,3,27.95,2.0,0,0.0,0
